id_post,user,Description,Likes
BzdRgSSnOS-,dylanaps15,one or more people and closeup,4
BzdQ5AVJyRB,steff_h30,"one or more people, sky, ocean and outdoor",17
BzaTSCsD2HD,volevo_sognare,text,14
By7thAhn0Od,mr_stubborn_143,one or more people,64
Bxj7JzzpR1A,20yaaan,one or more people,427
BxSgfMYgxjR,wiocha_art,drawing,17
BzdRnvVn0aj,juniormanriquee,"plant, flower, tree, outdoor and nature",3
BzdRnoVH96k,paketinternet2018,text,34
BzdRnnqhYDQ,the_dapper_sardar,"one or more people, people standing, sunglasses and outdoor",7
BzdRnmJlDrE,food_foor_thought,food,8
BzdRngRj6Yp,revanche_augusta,"one or more people, people standing and shoes",20
BzdRm4lHFO-,h._.ill,one or more people and people standing,34
BzdRm0ihxCI,platosclosetscarborough,shoes,36
BzdRmcBFkeY,lucifer._.9,one or more people and closeup,179
BzdRg0fFF7y,say_cheese.photography,one or more people,28
BzdQ6yUlMKn,lari_canedo,"one or more people, people standing, phone and indoor",127
BzdQ6Okl7vz,beauty_products110,makeup,5
BzcwFEsgHxK,xxqlxx_,outdoor,45
BzaL9rviSnA,aangelinasophie,one or more people and selfie,40
BzdRjAWnk93,the_weingarten_team,one or more people and indoor,13
BzdRYzrBh-y,ungracefuljazz,"one or more people, selfie and closeup",13
Bx2CzT-Jt82,20yaaan,"one or more people, shoes and outdoor",419
BzdRnbhHYYX,dhoni.addiction,"one or more people, people standing and outdoor",44
BzdRnSJjXjI,poetrovert_97,one or more people and text,12
BzdRnTkHqWE,ayami__1029,"one or more people, selfie and closeup",82
BzdRm28hY-_,mehmhories,one or more people and people standing,5
BzdRmqMBW1l,jaquelinemelophotos,"one or more people, shoes, tree and outdoor",12
BzdRmoJFKeU,matheus102silvaa,"one or more people, sky and outdoor",26
BzdRmkPJy5e,yujababy,food,9
BzdRmaLhOPw,tomo_k1227,one or more people and outdoor,281
BzdRlvIF4b8,mioiseki0509,one or more people and food,40
BzdRkpnlthv,gafas_arg,sunglasses,27
BzdRkk4lTrl,distribuidor_lentesarg,sunglasses,27
BzdRgmYJ2sB,tarik.ho,"one or more people, people standing, sunglasses and outdoor",20
BzdRfARnbwN,beautydressjo,one or more people and people standing,9
BzdRZR2Hyt-,rm1.17,"mountain, sky, outdoor, nature and text",10
BzdRXuZprP9,swagoforegon,shoes and outdoor,31
BzdRB57FFAW,archan_love,"one or more people, people standing, child and outdoor",4
BzdQvmWjtcK,lockefit_pt,one or more people,13
BzdIvmtItrD,_noraphoto,"one or more people, tree, car and outdoor",54
BzV_S0KHBIv,konpallas,"one or more people, shoes and outdoor",111
Bmg_ofilRXQ,kyoto.x7010x,"2 people, outdoor",2099
Bmaiphyh3Hx,theprince_cif,"3 people, people smiling, sunglasses, sky, outdoor and closeup",62
BzdRnFGF9i9,fukinao.0615,one or more people,44
BzdRnF5hx4C,revanche_penha,"one or more people, people standing and shoes",26
BzdRmv8BBBC,_roxyx_x,"one or more people, people sitting and indoor",98
BzdRmwZFlVq,bossspook,"one or more people, people standing and text",5
BzdRm2lHlat,youth.life._,one or more people and text,8
BzdRmUEFXhA,brand_store_1,shoes,10
BzdRlyOhuvn,estilerxs_peluqueria,one or more people,9
By7vwxuFy76,lalasalsabila68,one or more people,5
BzdRmw0FknQ,daianetrevizanioficial,flower and text,14
BzdRmWAoGBz,semperadamas_1,outdoor and nature,16
BzdRmQbHs2B,mr___mc__,one or more people and outdoor,35
BzdRmCNBEz0,barisakyurt,"one or more people, people sitting and indoor",56
BzdRil5J7cD,coolboymusiccl,one or more people and text,12
BzdRhxent_f,surgeet.k,"one or more people, people sitting, sky, ocean and outdoor",138
BzdRmjaBXos,shotzdelight,"sky, tree, bridge, plant, outdoor, water and nature",1466
BzdRmlCF9NX,ektormastercoach,one or more people and text,1
BzdRmM9HQtO,antalyazamani,"people sitting, ocean, sky, cloud, outdoor, water and nature",199
BzdRlxJhXVN,willow_fiering,"one or more people, selfie and closeup",8
BzdRlxkFg2g,mokary_mk,"car, sky and outdoor",19
BzdRkfeFSgd,gafas_argentina,sunglasses,90
BzdRgzWhO96,vida._.feliz_,"plant, tree, house, sky and outdoor",19
BzdRgC9FRTk,e_sorandom,"one or more people and closeup, text that says 'If she makes this face during sex, best believe you can borrow the car and eat her kids snacks Stoney Lokz'",5
BzdRdeRl1aG,geovanecds,one or more people and text,64
BzdRNYzF4YM,sheila_ferreiras2,"people smiling, one or more people and closeup",7
BzdRLf3hNS5,reika__jasmine,one or more people,79
BzdP8A8hpgI,sunsun_25_14,one or more people and closeup,160
BzdClZiBREC,syeong.ni,indoor,82
BzcpecMDzZ8,photographs_kengo,"sky, outdoor and nature",64
BzcK1QUBFW9,praisenationz,one or more people and people on stage,8
BzbYvToI9ih,xzaborowska_,"one or more people, selfie, phone, closeup and indoor",29
BzTL2fbIZOq,ana.ptr,one or more people,115
BugUtM0lgmN,z_sltdke,"1 person, selfie and closeup",277
BiMal2rAYO1,km_mn_j,1 person,175
BzdRl5ejCu_,disney_hi.m,one or more people and people standing,28
BzdRlzUlkM9,brothers_cabrera,one or more people and closeup,10
BzdRlr8hKhL,instarifeign,"sky, cloud, tree, plant, outdoor and nature",41
BzdRlvOH9s_,meajpadilla,one or more people and outdoor,51
BzdRlq5JYIm,zielphoto,eyeglasses and outdoor,13
BzdRlpoB_TO,drashti_fan_dreamy_payel,one or more people and text,30
BzdRlqjj8X7,prmra21,one or more people and closeup,39
BzdRluWFuNu,aleczwestcoast101,one or more people and people standing,11
BzdRlKHp_hv,just1rey,one or more people and outdoor,10
BzdRkpwHkkW,pin_a_frame,indoor,13
BzdRki7nIfK,ooe_kentaaaaa,one or more people,22
BzdQzArhTRX,archan_angle,"one or more people, people standing, child and outdoor",3
BzdQH0Rj17t,anna_rittenhouse,"one or more people, people standing, ocean, sky, child, outdoor, water and nature",1481
BzdNosnBHIY,nanuk__yuka,food,75
BzdKT2Bhluv,alyssaac_,"one or more people, people sitting, shoes, tree, grass, outdoor and nature",24
BzdGQxrlxgy,orguyemek_agaci,food,53
Bzcb7MrlUSj,chehtishamarif,"one or more people, beard and closeup",8
BzbqFZbh8YV,nu_khatulistiwa,text,35
BzbApqfBTPG,brandon__aran,"one or more people, people standing, tree, outdoor, water and nature",86
BzZ1R1DDOX_,mmc_onefineday,"one or more people, mountain, sky, cloud, nature and outdoor",301
BzYkkFpJ5JV,h.a.magnolia,people standing,4
BzX-lwnDcV1,fionnakk,one or more people and closeup,20
BzDk8lxgIy3,swadhin_kumar_,"one or more people, selfie and closeup",391
BzAYKEEl66a,l_ch_y,one or more people and closeup,164
BvZPku1hWth,uniiikoooon_11,"2 people, text",159
Bm7ct-zA-Nf,pletli,"sky, tree, mountain, outdoor and nature",371
BzdRlhKpcGZ,dre.sank,one or more people and people standing,90
BzdRlZ0BW5E,dpwls_0021,"one or more people, people standing, child and outdoor",14
BzdRlWWBNhe,navindu_thushan_costa,"one or more people, beard and closeup",10
BzdRlWcn15T,innnamaria,"sky, plant, nature and outdoor",22
BzdRlTOF0qO,th_lem_sil___7,"one or more people, cloud, sky and outdoor",31
BzdRlK_hWts,raul_hergotaxgroup,"one or more people, people standing, hat and outdoor",5
BzdRlODHlm2,sizin_kareleriniz,"sky, cloud, twilight, outdoor, nature and water",194
BzdRlLdhjc3,yui_gram0219,one or more people,34
BzdRlISBE7y,grupoedacaglobal,one or more people and text,4
BzdRk58Hjwy,yousef.mohamed.official,one or more people and indoor,10
BzdRk0fBrpQ,niels_faaborg,one or more people and outdoor,32
BzdRkyKlFU9,click_with_love_8,"skyscraper, night, sky and outdoor",4
BzdRkmGlQpH,lojalookchicsp,one or more people and people standing,177
BzdRkTynuF-,cheryl_bui,"one or more people, people standing and indoor",10
BzdRjqABfzE,shun_genkai,"one or more people, people standing, sunglasses and outdoor",20
BzdRjWjl9sw,h_minjing,one or more people,62
BzdRiTLnGUX,what_thehell,indoor,851
BzdRhKshRp3,s.tapioke,one or more people,91
BzdRdUEjp6Y,3mizahshare,text,19
BzdRUKwngkr,film_cam_m_,"one or more people, outdoor, water and nature",12
BzdRMPthTA3,co_op_on_camargo,"one or more people, people standing and indoor",30
BzdRFAHFXka,ss_kyu87,food and indoor,47
BzdOosXhJOu,emporiogriffjf,one or more people and people standing,8
BzdNBrqlSbB,juri.727,"one or more people, people sitting and indoor",70
BzdDetnCxUh,lardigabi,"tree, sky, cloud, outdoor and nature",41
Bzc2T_Yn6jj,soytarikadin,text,79
BzafL5-jvh_,volevo_sognare,text,11
BzWsu3xgmh5,omj.omin17,drink and coffee cup,70
Bx_GELMBBCe,machuca.fans,drink,98
BxSWn6VHYX1,jerry.jj1,food,77
BwwyaefFw0y,ss_kwong,"ocean, sky, water, outdoor and nature",2241
BvGxtUHFELJ,egndca7304,"mountain, sky, ocean, outdoor, nature and water",607
BzdRkz3BIQi,chef_itinerant,food and indoor,10
BzdRkwsnvFz,mobinaosman,one or more people,329
BzdRkpllIHr,tabimap_nippon,"plant, tree, flower, outdoor and nature",23
BzdRkksnvU9,__salahtakwa__,"one or more people, selfie and closeup",18
BzdRkh7BErj,84elysashana,text that says 'U know u drunk when u swerve from hitting a tree then u realize it's the air freshener hanging from ur mirror',2
BzdRkVwHSO3,adrian_padron_pro,"one or more people, people standing and outdoor",15
BzdRkTvhmLQ,_seo_16,one or more people,28
BzdRj3cB6gi,vanessawendler_,one or more people and phone,73
BzdRjv_JaEZ,teresquivell,one or more people and indoor,105
BzdRjd3FWjN,purpleeee_e,one or more people,43
BzdRjMxlN2n,zigueprata,one or more people and closeup,17
BzdRirpli1F,thecustardcompany,drink,18
BzdRiqdDd7x,versosduda,one or more people and closeup,33
BzdRhy0JmAj,phibrows_fundabarlikofficial,"one or more people, text and closeup",353
BzdRhy0JmAj,phibrows_fundabarlikofficial,"one or more people, text and closeup",353
BzdRQCtn2XS,okina12,plant and outdoor,22
BzdRCg8n899,duda_ritzmann,"one or more people, people standing, shoes and outdoor",298
BzdQiIshpDu,justgrowingtogether,"one or more people, people standing, child and outdoor",39
BzdOcWGCcdr,hania_sztachanska,one or more people,2801
Bzcvu1uIHC-,d.sobolenko,sky and outdoor,46
BzccBhSlQig,chehtishamarif,one or more people and closeup,7
BxXQi6UHlFj,jerry.jj1,"2 people, people standing and outdoor",165
Bwr8GF2DtWz,alessia_mavi,"mountain, sky, tree, outdoor, nature and water",74
Bv5hq2Hg5dZ,realgoodrhymes,text,564
BuoJkB_Fzx1,z_sltdke,"1 person, selfie and closeup",285
Bmixy_ylHqN,kyoto.x7010x,"7 people, outdoor",2394
BzdRkGhFIYZ,e_sorandom,text that says 'U know u drunk when u swerve from hitting a tree then u realize it's the air freshener hanging from ur mirror',8
BzdRkAkl_JN,iamkahye,indoor,28
BzdRjm2BKuH,dabsve,text,3
BzdRjpOHCeW,rakesh_player,one or more people and closeup,10
BzdRjWDlVMN,mohamed.farhan87,text,6
BzdRjRqn5yd,cash_macco,"one or more people, phone, selfie and closeup",19
BzdRjO4nuOU,n_koki1998,food,31
BzdRjLqlrgI,mradul__pandey,night,28
BzdRi-vBm95,motivepress,one or more people and text,23
BzdRi9mFiMI,dz_galleries,"airplane, sky and outdoor",9
BzdRiuiBUwY,tasogare_kanta,dog and text,56
BzdRijkFMzC,jasmineblossomgirl,one or more people and closeup,318
BzdRic1HZAs,travel_colours_and_clay,one or more people,40
BzdRiA8hyAz,willow_fiering,one or more people and closeup,4
BzdRem4FP4t,hunnygoddess,"one or more people, eyeglasses and closeup",118
BzdRX92BLmg,_afifahlrmakeup,"one or more people, people standing and outdoor",175
BzdRT9lFLJy,judymodelmodel,text that says '4th of July SALE EXTENSIONES REMY Segunda a 50% off Al comprar una a precio regular Judy Model Model 787.509.9581',10
BzdQ5TdjLVW,______723__,one or more people,56
BzdPPQDFzVw,travelnowprices,"sky, cloud and outdoor",6
BzdLgzSHz0I,linlin_anna,"sky, cloud, tree and outdoor",26
Bzcq7pxh-hL,syeong.ni,"one or more people, people standing and indoor",131
Bzccdu3FDc8,chehtishamarif,"one or more people, beard, selfie and closeup",13
BzYj8RnpLfK,h.a.magnolia,people standing,3
ByJfxbolAPA,vandovedriyan,one or more people and sunglasses,3
ByIiDR9BKVe,hyob0_0,one or more people and people standing,118
BvZjZgQgc1y,elatraztor,"3 people, people sitting and outdoor",167
BmOElLaAM3J,km_mn_j,"1 person, standing, phone, selfie and indoor",165
Bzcjjbip3vT,_hyun__choi__91,"one or more people, selfie and closeup",105
BzdRjKWHqCP,studiofannesilva,"one or more people, closeup and text",33
BzdRi6wlFAv,amor_y_poema,text,24
BzdRi2thHe4,packet999,"one or more people, people standing, shoes and indoor",26
BzdRiplB5Ix,tampabayplays,one or more people,26
BzdRic9Fitu,asyalitakilar,outdoor and nature,45
BzdRiT1l2F0,stephannymarquess,"one or more people, closeup and outdoor",7
BzdRgvEDwic,s00_jiiiiiiin,"one or more people, selfie and closeup",47
BzdRgAxBQ7T,de.la.good.energie,"sky, cloud, outdoor and nature",10
BzdRfqPF_8g,___e_than,one or more people and people standing,3
BzdRfq3Fano,dere.photography,"flower, plant, nature and outdoor",34
BzdRdykFJCh,kou252625,one or more people and outdoor,57
BzdQ5-qJNKU,britneyjolie28,text that says 'Sorry to interrupt your scrolling but I just thought you should know that you're amazing and deserve to be happy',8
BzdQR1lFpds,bella_matoss1,text,32
BzcKxp9pn8-,i_am_the_crackerjack,"one or more people, people standing and outdoor",23
Bzb95GihKzO,isalces,"one or more people, beard, closeup and indoor",84
BzAudYrlsA9,l_ch_y,"one or more people, sky, tree, outdoor, water and nature",181
BxaGAjQHRR2,jerry.jj1,"sky, outdoor and nature",126
BvqMO-wle_o,estapasando2,"ocean, sky, nature and water",103
BmoV75RF9Nl,kyoto.x7010x,"18 people, people standing and outdoor",1727
BzdRipjBcmZ,lisandrazimmerr,text,10
BzdRihsBntv,a_nsh9477,"ocean, sky, outdoor, nature and water",8
BzdRieeH3I9,_words_dreamer_addict,"text that says '""tere dil k bazaar me main roz bikta hu.... kuch lafz teri yaado roz likta hu"" @ words dreamer addict'",19
BzdRihgHasm,getphatentertainment.llc,text,19
BzdRikEFccN,belenisb,one or more people and shoes,17
BzdRh_qByM6,lekweeraphan,food,69
BzdRhaiBE8o,real_2_unreal,one or more people and indoor,233
BzdRcgVnXJP,love_uu0825,"sky, cloud, outdoor and nature",16
BzdJr8ElSg6,j._.seo01,"one or more people, selfie and closeup",69
Bzc7OKVAX2g,odangonikki_gourmet,food,82
Bzc4DVNFAWi,_princess___diary,one or more people and outdoor,58
BzdRiX2lAhv,budahollicks,"one or more people, sky, outdoor, water and nature",46
BzdRiKBhsKO,ny5yu,sky,10
BzdRh_vns5Y,soldanscompany,one or more people and text,6
BzdRh_vns5Y,soldanscompany,one or more people and text,6
BzdRh7Nj45v,carshowrome,car,9
BzdRh1-nsUX,rina__85101,one or more people,54
BzdRh1-nsUX,rina__85101,one or more people,54
BzdRhplh0fh,defnaputra,one or more people and text,21
BzdRhXxlB3n,ap1.jp,one or more people,18
BzdRgVYFeh9,dress_up.official,one or more people and beard,4
BzdReUohoGh,homedecorbyhafsa,indoor,11
BzdRcodjOSW,r___stag17,"one or more people, selfie and closeup",142
BzdRbTmlpoG,eltropezonrestaurant,indoor,14
BzdRYYAj6Dr,jacked_events,one or more people and text,17
BzdRYYAj6Dr,jacked_events,one or more people and text,17
BzdRYMyh0do,drgreenbaumdds,text,25
BzcwntsIw_A,wild_world0205,indoor,10
BzcdKrOlwl3,chehtishamarif,one or more people,23
BzbC0iCo7Kv,laracaprotti,dog,545
BzX12U6lVpm,rorubini,"one or more people, people standing, ocean, sky, beach, outdoor, water and nature",99
BxdwI3gnjwT,jerry.jj1,"plant, cat and outdoor",131
BtzNfBeheKe,ggraziepereira,"1 person, smiling, selfie and closeup",161
BzdRhxzH4rb,quedatebar,food,17
BzdRhnYF9Kp,himanshusharm8695,one or more people,22
BzdRhmljaSo,romanafarkas_makeup,one or more people,11
BzdRgxFBf0r,verashins,food,28
BzdRcQZHHAS,gustare.kiyo,food,174
BzdRTrUhQm8,faizarlianfajr,"ocean, sky, cloud, twilight, outdoor, water and nature",35
BzdRDQ7Jc4x,gikam2019,one or more people,6
BzdQYNlhWAh,as69112102.01,"dessert, food and indoor",4
BzdQTOVHPEV,ruuu__na,one or more people,237
BzdP2ulhpzs,cassandramai,"sky, cloud, skyscraper and outdoor",58
BzdKpYTjsGJ,jeremiahgardnerphotos,"cloud, sky, grass, tree, outdoor and nature",5
BzcIkk3BKCK,praisenationz,one or more people and people standing,8
BzaGaL_g29z,odangonikki_gourmet,food,80
Bwkx7S2FMh_,maramare0076,"1 person, closeup",54
BzdRhI4FApR,_muneebahmedshah_,tree and outdoor,3
BzdRhGdHUk1,boutique_pally,one or more people and people standing,741
BzdRhDdlhN6,azxuuuuu.tcs,one or more people and people standing,609
BzdRg-bBPuf,hearttouching_quotes_,one or more people and text,3088
BzdRgughkad,_e_g_o_i_s_t_86,"one or more people, people standing and outdoor",33
BzdRguploBM,emirsahinreklam,"one or more people, people sitting, table and indoor",66
BzdRgqRF6Wl,shamszfit,"one or more people, people standing and indoor",1228
BzdRgoFFFhf,jackiekatanga,"one or more people, people standing and outdoor",10
BzdRgamBIP9,xamiranouel,"one or more people, people playing sports, basketball court and shorts",24
BzdRgQbhz_u,wigsbuy,one or more people,4
BzdRgFPB-yo,ico_mao,one or more people and closeup,12
BzdRfwEFnF3,beopenedministries,text,7
BzdRfFehpXi,yerimbb_,one or more people and indoor,38
BzdRfJvFymR,a_captive_of_yhwh,text,5
BzdRebdHkao,icohair727090,one or more people and closeup,5
BzdRaoaDDYp,rebecbbit,food,40
BzdRV0sFDcc,donikamatoshi,one or more people and closeup,11
BzdRVU5HJC1,hairstylingbykesorn_sg,one or more people,9
BzdRFC4h-4H,toypic_community,one or more people,117
BzdPj94H7u0,nohochsurf,one or more people and outdoor,26
BzdG7x5nifu,so0_sohot,"one or more people, eyeglasses and closeup",52
BzdADfjHGoI,1oveyeu_n,indoor,392
Bzcd0LmFF1D,chehtishamarif,one or more people,14
BzbmRPTAF3p,m.__.dol,"one or more people, pool, outdoor and closeup",86
BzafVkXJAyS,0._.ppcc,"one or more people, selfie and closeup",349
BzBJCBfFlWt,l_ch_y,"one or more people, tree, sky and outdoor",197
BypIzxBA-8Z,yeji155,"one or more people, shoes and outdoor",81
ByiKVEShmHh,hyob0_0,"one or more people, selfie and closeup",73
BwDM7tJgttN,realgoodrhymes,text,481
BmtG-cXltfC,kyoto.x7010x,"2 people, people standing and outdoor",2047
BzdRgtjFlzd,0_0_____k,"one or more people, hat and closeup",20
BzdRgs4l1yU,chefleandrodiaz,sky and outdoor,260
BvdxAFUAJyu,uniiikoooon_11,4 people,168
BzdRgYvHOvb,daaaaaaai919,car and outdoor,48
BzdRgOrFEm6,maksim00ruzhickii,"one or more people, closeup and outdoor",49
BzdRgKSB6xX,stopholidays,"cloud, sky, shoes, plant, outdoor and nature",34
BzdRgFSDbbI,genesisnailstudio,one or more people,16
BzdRf--F4zI,rio_waki5900,"one or more people, selfie and closeup",72
BzdRf2AFJY_,bar.brasil,text,15
BzdRfxqhnl_,srhaasgr.official,one or more people,3523
BzdRfnzHqOk,whim_fluffy,"one or more people, stripes and outdoor",485
BzdRfcFhia6,_juliaislamo_,"one or more people, selfie and closeup",43
BzdRe5yF85d,shahzaah_29,"one or more people, people standing and outdoor",7
BzdRepBhH18,nadaa_.6,"one or more people, people standing, outdoor and nature",584
BzdRbDnBKvA,i___kaneko,"one or more people, people standing and phone",96
BzdRFDiFNGI,tratamentoparaunhas,one or more people,4
BzdRDBMhY-E,ripeach.092,one or more people,3
BzdQ-RdHvbb,masayo_odagiri,"sky, tree, plant, cloud, outdoor and nature",24
BzdQ3jqF1nK,dotdotsmile.heidishirley,text,16
Bzc-3XtIVVW,volevo_sognare,text,11
BzbT76cnCYK,xeniak,one or more people and shoes,48
BzI4Ujvhux-,sabrinagb,"one or more people, people dancing and indoor",134
Bx8h3nDFAaE,ayeraaerae,"one or more people, people sleeping, baby and closeup",97
BwkpdQsB40t,khalmuradovkhamra,one or more people and closeup,170
BzdRfkdh4-N,theclimaxe,"one or more people, people standing, shoes and outdoor",19
BzdRfmYnRmO,raleighartphotographer,"flower, plant, sky, nature and outdoor",9
BzdRfmJBCzG,ck829__,people sitting and food,33
BzdRdrcFMbq,eldeod__,"cloud, sky, outdoor and nature",21
BzdRbeDhWHc,lope_stagram,one or more people,18
BzdRRzQh2ww,neyneville,"one or more people, selfie and closeup",6
BzdRJqwlUjB,mikacuhali,indoor,526
BzcgB7jH-u_,prem_makude_photography,"one or more people, sunglasses and outdoor",94
BzUhbaDA8k1,1chi__zu,one or more people and closeup,14
BzNOMruAFRP,yeji155,one or more people and phone,89
Bm0QJUxlTe5,kyoto.x7010x,"3 people, outdoor",1925
BzdRfZelySN,fcsauloponcio_ofc,one or more people,24
BzdRfQaH1CZ,yoursbrokendemon,one or more people and outdoor,22
BzdRep_BKrV,itsannabanana97,one or more people and closeup,19
BzdRGscHB8R,heartychars,"one or more people, people sitting, drink, table and indoor",12
BzdRErhDjG4,ishankpy,"one or more people, people standing and outdoor",21
BzcAYd1hSKz,praisenationz,one or more people and people playing musical instruments,11
BzBLXjdlH3d,l_ch_y,one or more people and closeup,181
BxgtznvHtgx,jerry.jj1,"plant, outdoor and nature",122
BzdRfWWnu0_,jhean_raphaell,"one or more people, selfie, eyeglasses and closeup",11
BzdRekYFeq3,minuevacasa,indoor,7
BzdRc3Sj4da,sonenversos,text,210
BzdRZr2HD_J,nic1989_,one or more people and closeup,29
BzdRTVmn6gn,chaaaaanmayu,one or more people and drink,47
BzdRNyRB2Fs,madjef_music,"people sitting, screen and indoor",9
Bzcd7HpFQAH,chehtishamarif,"one or more people, people sitting and motorcycle",14
BzcO8lFlArG,nishantdasari007,outdoor,2
Bzbld3qFmKJ,mb_555p,one or more people and closeup,131
BzbP5nUhRfV,emmme_b,"ocean, mountain, sky, outdoor, nature and water",27
BzYihPvg07k,h.a.magnolia,"one or more people, people standing and stripes",6
By9mY4yFIvQ,_varad_99,one or more people,238
Bv_r8cvFqvD,ss_kwong,"cloud, sky, flower, plant, tree, outdoor and nature",2520
Bn05bH4Ad_j,km_mn_j,2 people,188
BzdRezVBlca,nuha_abuali,one or more people and closeup,22
BzdRerqluyg,__yanlizlik_,"sky, cloud, text and outdoor",4
BzdResqDezC,anninella,dessert and food,20
BzdRemYjzIw,afonsoramalho_to,"one or more people, people standing and indoor",14
BzdReYHlvC9,nadia.anwar.photography,"flower, plant, sky, outdoor and nature",17
BzdReYTAAvh,joyformom,text,14
BzdRePPBIGc,ki.azam,"one or more people, sky, ocean and outdoor",3
BzdReT0FVh7,boneca__deluxo,"one or more people, people standing and shoes",7
BzdReLciuHt,milano51femme,text,14
BzdRd2zl1CL,iamkabirra,one or more people and people standing,21
BzdRd7NB1xB,the_hyper,food,19
BzdRdVslALT,seninbakisin,text,20
BzdRacjHLyv,filminmu,"plant, flower, tree, outdoor and nature",23
BzdRVXonFsc,brownboi_eddie,"one or more people, shoes, skyscraper and outdoor",17
BzdRNPon26p,atsuatsuo2019,"one or more people, people standing, shoes and outdoor",21
BzdRDQnHl-h,kekelulxk,fire,8
BzdRC2rn1BK,mmeyouuuuu,"sky, cloud, tree, twilight, plant, shoes and outdoor",17
BzYtPvNI_TM,susana_lazaro,"one or more people, ocean, water, outdoor and nature",121
BzVv2iihbZe,e.leninsky,"one or more people, people sitting, tree, child, outdoor and nature",45
BzUh0cugxJS,1chi__zu,one or more people and closeup,26
BzF9bNbAMIz,s.aika_1112,one or more people and closeup,142
Byn4NfgnzV5,stefanysantos9097,"one or more people, eyeglasses and drink",104
ByZ-M1SHycm,hanhwwayeon,"one or more people, people sitting and indoor",97
BxQiEEdAv6k,wiocha_art,drawing,12
Bv0mkOsHdpp,ankan.aniket,"1 person, standing, shoes, tree and outdoor",377
Bu00kR1DvvK,20yaaan,text,355
BzdRdxHHLma,_dbswls_,one or more people and text,11
BzdRdpshonm,tufleatherstuff,one or more people,37
BzdRdnRhq2E,just_an_other_moment,one or more people and outdoor,52
BzdRdlclHo-,quallissaude,one or more people and beard,11
BzdRdgEhovv,sommersonnenostseekind,"ocean, sky, outdoor and nature",33
BzdRdc5FzLw,butiqmodam,"one or more people, people standing, phone and selfie",83
BzdRdaZnOsc,paulahayes007,indoor,10
BzdRdZkBhzA,agentsresourcegroup,one or more people and text,7
BzdRcxdBErR,talon_memphis,horse,7
BzdRcyKhgkA,buhos.ipn.flag,"one or more people, people playing sports and outdoor",9
BzdRck8Dc22,unknown__photographer77,"tree, sky, outdoor and nature",16
BzdRbNmlfBM,thevintageemporium.thaodien,"one or more people, people sitting, people eating, table and outdoor",13
BzdRbBAhlWS,seira_grram.7,one or more people and closeup,27
BzdRW-iFpaR,bookdestinee1,one or more people and text,11
BzdRVy3Fl29,1928h0424,food,51
BzdRRbCF-PG,w__oori,shoes and outdoor,28
BzdRPuQFJGk,lense_lovers,one or more people,12
BzdRLE-h9Rc,clips.studio,"one or more people, pool, outdoor and water",23
BzdRK8dlDB_,kyquan12,flower and plant,24
BzdQcSJHL23,7looks_kae,one or more people and closeup,11
BzdNdYLFY7d,venturingalinavan,"tree, plant, car, sky, outdoor and nature",32
BzdNb8ZFf9k,sinhyekk,drink and coffee,53
BzdHmQSn5lm,sunnytime.co_,"one or more people, sunglasses and closeup",4
BzdGgiLFa_Y,tarihi_mizahsen,".
.
.
.
.
.
.
.
.
.
.
#açız #q #ww1 #ww2 #enverpaşa #rusya #teknoloji #türkiye #yeniçağ #u #ı #ottoman #polonya #ğ #üçüncüosman #ayigibiseyyapiyonuzya #sovyetlerbirliği #dünya #fun #güneşsistemi #hastaadam #j #kaddafi #lgbttürkiye #şahi #itilaf #z #x #cihandevleti #churchill #cellat #viyanakuşatması #beautiful #nazialmanyası #mahmuttuncer #mizahipaylasim #musul #ö #çaycıhüseyin #instagood #love",41
BzdFA2DhCd0,agal_6789,food,17
BzXEEPBlgzz,jazzybollywood,text that says 'I NEED SOMETHING THAT'S MORE THAN COFFEE BUT LESS THAN COCAINE.',30
BzUiT-xAJeu,1chi__zu,one or more people,24
BzO8xKAHSsK,williamsilvano99,"one or more people, people standing and outdoor",253
BzBNjLSl2sk,l_ch_y,"one or more people, stripes and closeup",184
BxhpWALHTnE,jerry.jj1,"sky, tree, cloud, outdoor, nature and water",149
BzdRdRBhiT5,springlabsmx,one or more people and phone,9
BzdRdMIhwgW,mr_robot_77,nature and outdoor,4
BzdRcvGHj4V,torontosochic,one or more people,35
BzdRc0XH0VH,shagarova_svetlana,shoes,10
BzdRcqsFUMT,behzat_nalcakanoglu,"one or more people, mountain, outdoor, nature and water",79
BzdRcSWDhak,tiemy_bru,one or more people and closeup,16
BzdRb_0nlrZ,_matsuodayo_,one or more people,81
BzdRbfMlR7U,jxxexxpark,one or more people and closeup,19
BzdRbAgFLyj,melko_0523,one or more people and closeup,125
BzdRZ_IFEw3,satomi_satoko,one or more people,51
BzdRWQrlFvz,jasminne_morabito,"one or more people, people standing and indoor",71
BzdRRqQFyXl,randy_rosalie,"sky, cloud, outdoor, nature and water",37
BzdRQ6phJQF,fleaboutiquemi,outdoor,6
BzdQ_QCh_Sr,ryusei_ha0916,one or more people,5
BzdQc0Mn0pG,seonu518,"one or more people, people sitting, closeup and indoor",10
BzdN_-ziuGm,viktoriyalova,one or more people and food,63
Bzc8IeZpkR3,hanachan_0110,one or more people,50
BzczziHDiyf,extremecreations,text,3
Bzb_4AahtT1,praisenationz,one or more people and people playing musical instruments,11
BzYheZ7AHFg,h.a.magnolia,one or more people and people standing,4
BzSwr-3HXr1,come_won_,one or more people and closeup,98
